PostalCode,total_policies,claims_count,freq,mean_margin
790,651,1,0.0015360983102918587,49.179512656076284
9781,643,3,0.004665629860031105,-84.94627996331596
7802,639,4,0.006259780907668232,-159.49847854377765
4680,630,1,0.0015873015873015873,-323.14819770932786
1062,630,1,0.0015873015873015873,38.93171818434954
4454,628,0,0.0,24.992625239859688
1459,622,0,0.0,73.86583768017417
1471,620,0,0.0,28.868092954159422
4074,620,1,0.0016129032258064516,100.77746866515898
22,605,0,0.0,55.3906764017479
4171,600,11,0.018333333333333333,-346.9019839181292
6242,600,0,0.0,76.56192859736674
7947,599,1,0.001669449081803005,-21.761795618302603
1034,599,3,0.005008347245409015,90.01346869817793
1610,598,1,0.0016722408026755853,-225.73886695347719
8001,590,1,0.001694915254237288,-4.692483127583951
1038,590,0,0.0,1.7768953315492033
168,585,0,0.0,74.06678502814317
8580,584,2,0.003424657534246575,44.809964167973085
4170,581,3,0.0051635111876075735,54.1435221929605
621,580,2,0.0034482758620689655,35.0955128749291
1054,579,2,0.0034542314335060447,63.509301578644006
2188,574,1,0.0017421602787456446,64.87956500219836
3180,564,1,0.0017730496453900709,48.6633771361216
1035,563,1,0.0017761989342806395,38.299177682216
1575,557,0,0.0,39.95078431985141
2143,556,6,0.01079136690647482,-132.85556181691834
1692,555,0,0.0,34.87475810020534
6506,552,1,0.0018115942028985507,63.5036458769057
1744,552,3,0.005434782608695652,38.717765656055995
2791,550,0,0.0,29.774179312650954
8060,549,2,0.0036429872495446266,1.6951237906592278
2745,548,1,0.0018248175182481751,-50.25409685474602
311,544,1,0.001838235294117647,-31.58441876290008
993,544,1,0.001838235294117647,15.018133676220735
2094,540,1,0.001851851851851852,-96.1056435964466
617,533,0,0.0,65.90387025103732
8570,531,0,0.0,44.70929151696833
3935,530,1,0.0018867924528301887,27.1218834182227
1491,528,1,0.001893939393939394,53.440221191648874
8005,520,1,0.0019230769230769232,55.84555174459053
1812,519,1,0.0019267822736030828,34.001544402680985
129,510,0,0.0,19.29423116615056
6835,509,1,0.0019646365422396855,16.96554347062087
3135,505,2,0.0039603960396039604,78.41116188987297
2191,500,1,0.002,-112.87534983720089
4302,495,0,0.0,53.182090331726826
7144,495,2,0.00404040404040404,-7.298646293152526
37,486,2,0.00411522633744856,46.858650831079736
737,485,1,0.002061855670103093,-58.18192450197685
1827,483,1,0.002070393374741201,30.364692134731257
379,480,0,0.0,6.577657163742588
175,480,2,0.004166666666666667,-41.89567927042101
6025,479,0,0.0,44.75443198942019
3670,477,2,0.0041928721174004195,13.424767588647411
459,477,4,0.008385744234800839,49.86154796057191
477,476,1,0.0021008403361344537,-24.493248746867472
1791,472,1,0.00211864406779661,-304.9624430891682
161,470,3,0.006382978723404255,20.583283675901825
5160,466,0,0.0,38.994335516903675
3310,462,1,0.0021645021645021645,68.47991831493597
3000,462,1,0.0021645021645021645,-28.531713355358438
4145,460,5,0.010869565217391304,-89.41667064581766
4339,459,1,0.002178649237472767,6.905106444440635
6625,459,1,0.002178649237472767,29.597701783977005
29,454,1,0.0022026431718061676,62.409209292236945
1666,452,0,0.0,20.88073941007946
7101,447,0,0.0,62.24785446121117
7786,445,0,0.0,81.73464312966149
7612,441,0,0.0,83.08861535925952
6,440,2,0.004545454545454545,30.980985446570763
7380,439,1,0.002277904328018223,92.57372252022722
8160,439,0,0.0,25.07284775339991
2197,439,2,0.004555808656036446,85.53585368557664
1982,438,1,0.00228310502283105,47.74949999095525
4240,438,0,0.0,80.82714310979033
5090,437,2,0.004576659038901602,-55.62203467417133
2170,437,1,0.002288329519450801,28.942313992980296
1864,437,0,0.0,66.6540682156781
1405,436,1,0.0022935779816513763,39.15521595068597
1748,432,1,0.0023148148148148147,0.5378640350876827
1150,430,0,0.0,80.69103670654478
5201,425,1,0.002352941176470588,32.26388362794994
3855,423,2,0.004728132387706856,-22.47257327913962
2951,420,1,0.002380952380952381,71.19557214945938
5319,419,0,0.0,62.80741694220325
8309,417,0,0.0,24.912589928057407
1055,415,0,0.0,88.39430243077535
21,415,3,0.007228915662650603,-78.47750249896058
2190,414,0,0.0,40.23962772268818
2031,408,2,0.004901960784313725,-209.68286253749787
5362,408,0,0.0,59.27477657241668
7220,405,0,0.0,102.48917933723156
1710,404,0,0.0,45.752241798903825
6211,403,0,0.0,115.02014449655678
2380,403,1,0.0024813895781637717,58.56202365254335
431,401,0,0.0,56.37397304983123
4005,401,1,0.0024937655860349127,19.740647306464883
5,400,4,0.01,-145.72518947368482
9750,400,0,0.0,82.01797038058822
1124,397,0,0.0,42.32785809388164
184,397,2,0.005037783375314861,-13.862048793268137
3838,390,0,0.0,22.242812814708323
8040,390,0,0.0,87.65800415136918
3624,390,2,0.005128205128205128,-30.453373819163733
708,387,3,0.007751937984496124,-100.44121836892036
317,386,0,0.0,77.3341278065628
1494,385,2,0.005194805194805195,68.94598336750948
